"","Zmienna","N","Srednia","Mediana","Min","Max","Odch_Std","Skosnosc","Kurtoza","Wsp_Zm_Proc","Gini","Klasa_Asymetrii","Klasa_Zmiennosci"
"1","x56",16,71.94,71.75,68.9,76,1.99,0.71,0.03,2.77,0.01,"słaba/umiarkowana","bardzo mała zmienność"
"2","x55",16,71.94,71.75,68.9,76,1.99,0.71,0.03,2.77,0.01,"słaba/umiarkowana","bardzo mała zmienność"
"3","x54",16,23.35,22.9,20,32.4,3,1.83,5.02,12.86,0.06,"silna prawostronna","mała zmienność"
"4","x53",16,59.32,59.4,57.9,60.3,0.68,-0.5,-0.15,1.14,0.01,"słaba/umiarkowana","bardzo mała zmienność"
"5","x52",16,57.71,57.4,52.7,63.3,2.68,0.13,-0.02,4.64,0.02,"słaba/umiarkowana","bardzo mała zmienność"
"6","x51",16,18.98,19.57,6.66,34.2,8.62,0.23,-0.99,45.41,0.25,"słaba/umiarkowana","umiarkowana zmienność"
"7","x50",16,7.31,6.75,4.3,12.3,2.24,0.74,0.12,30.7,0.16,"słaba/umiarkowana","umiarkowana zmienność"
"8","x49",16,10.16,9.96,5.82,18.28,2.99,1.17,2.54,29.38,0.15,"słaba/umiarkowana","umiarkowana zmienność"
"9","x48",16,80.4,77.59,61.94,105.82,13.81,0.47,-0.91,17.18,0.09,"słaba/umiarkowana","mała zmienność"
"10","x47",16,42.11,41.9,35.3,46.48,2.99,-0.34,0.35,7.1,0.04,"słaba/umiarkowana","bardzo mała zmienność"
"11","x46",16,26.22,17.42,8.27,101.57,23.5,2.47,7.04,89.64,0.39,"silna prawostronna","bardzo duża zmienność"
"12","x45",16,23.96,16.56,8.46,94.5,21.64,2.65,7.82,90.3,0.38,"silna prawostronna","bardzo duża zmienność"
"13","x44",16,34.12,33,22,52,8.62,0.53,-0.4,25.25,0.14,"słaba/umiarkowana","umiarkowana zmienność"
"14","x43",16,58,56.5,29,87,18.22,0.08,-1.34,31.41,0.17,"słaba/umiarkowana","umiarkowana zmienność"
"15","x42",16,22.21,23.15,13.9,29.9,4.83,-0.2,-1.09,21.75,0.12,"słaba/umiarkowana","mała zmienność"
"16","x41",16,14.38,14.5,10.7,16.8,2.07,-0.23,-1.43,14.43,0.08,"słaba/umiarkowana","mała zmienność"
"17","x40",16,57,55.6,45.8,70.2,7.65,0.16,-0.98,13.42,0.07,"słaba/umiarkowana","mała zmienność"
"18","x39",16,9.4,9.55,6.4,12.2,1.73,-0.17,-1,18.37,0.1,"słaba/umiarkowana","mała zmienność"
"19","x38",16,35.07,35.4,25,52.2,7.28,0.6,0.5,20.76,0.11,"słaba/umiarkowana","mała zmienność"
"20","x37",16,161.47,157.95,95.8,247,42.44,0.64,0.39,26.28,0.14,"słaba/umiarkowana","umiarkowana zmienność"
"21","x36",16,38.12,35,20,70,13.77,1.61,2.4,36.12,0.17,"silna prawostronna","umiarkowana zmienność"
"22","x35",16,44.75,45,29,60,9.19,-0.06,-0.87,20.54,0.11,"słaba/umiarkowana","mała zmienność"
"23","x34",16,34.17,33.84,20.88,43.11,5.47,-0.64,1.18,16.01,0.08,"słaba/umiarkowana","mała zmienność"
"24","x33",16,21.5,20.5,13,32,5.24,0.91,0.57,24.38,0.13,"słaba/umiarkowana","mała zmienność"
"25","x32",16,16.39,16.07,12.8,22.2,2.26,0.91,1.78,13.79,0.07,"słaba/umiarkowana","mała zmienność"
"26","x31",16,18.75,19.98,8.8,32.51,6.32,0.1,0.1,33.69,0.18,"słaba/umiarkowana","umiarkowana zmienność"
"27","x30",16,31.75,31.35,27.68,38.2,2.59,0.74,1.26,8.15,0.04,"słaba/umiarkowana","bardzo mała zmienność"
